date,mean_percent,median_percent,max_amount,count
2018-01-01,19.164676986376037,20.0,191.7,94599
2018-01-02,18.824546555657072,19.99500748876685,200.0,78728
2018-01-03,18.858028166100873,19.995300751879697,61.7,75423
2018-01-04,19.594252074542492,20.0,200.0,36402
2018-01-05,18.895676436899716,19.996584699453553,82.0,61326
2018-01-06,18.965893195840785,19.999999999999996,91.29,84791
2018-01-07,18.861413505322982,19.996584699453553,84.0,91794
2018-01-08,18.84237754927801,19.994675186368475,65.0,72560
2018-01-09,18.900272251712767,19.99512907939601,355.0,76407
2018-01-10,18.950295897777668,19.99506903353057,80.0,78195
2018-01-11,19.00052938347862,19.99518768046199,71.8,81889
2018-01-12,18.889357444264068,19.994879672299028,100.0,79777
2018-01-13,18.864358485781302,19.996584699453553,61.44,102372
2018-01-14,18.936311053825683,19.996584699453553,145.0,108985
2018-01-15,19.107586698021883,19.996584699453553,80.0,100259
2018-01-16,18.993101247005523,19.995244888254874,125.0,87916
2018-01-17,19.139436920262884,19.9960047942469,441.71,92441
2018-01-18,19.021613552505883,19.99506903353057,115.0,90052
2018-01-19,18.874688065461452,19.99474513925381,133.0,86999
2018-01-20,18.74703577379988,19.99500748876685,411.0,88117
2018-01-21,18.68739044016141,19.994128009395187,100.0,106901
2018-01-22,18.938247233748093,19.99474513925381,140.0,90376
2018-01-23,19.06758710973049,19.995704467353956,90.0,85995
2018-01-24,18.991191153568465,19.99518768046199,60.0,90994
2018-01-25,19.007348950820337,19.99512907939601,100.0,88078
2018-01-26,18.85605446383464,19.99474513925381,100.0,85790
2018-01-27,18.77810937151171,19.995704467353956,100.0,91463
2018-01-28,18.67952221188419,19.99437570303712,159.0,102215
2018-01-29,18.917761278252787,19.994675186368475,121.0,89842
2018-01-30,19.030589959528907,19.99556147359077,200.0,91584
2018-01-31,19.03121630479771,19.995355318160705,90.0,89915
2018-02-01,18.895981222824947,19.994675186368475,70.0,88990
2018-02-02,18.867254263548233,19.994813278008298,150.0,91141
2018-02-03,18.787981019019938,19.996584699453553,111.11,97196
2018-02-04,18.693185968229876,19.994603345925523,222.22,110928
2018-02-05,18.850182608903342,19.99474513925381,120.0,97478
2018-02-06,18.953537664606735,19.99506903353057,150.0,86806
2018-02-07,19.090027503296092,19.995704467353956,200.0,83873
2018-02-08,18.933651436216522,19.994879672299028,84.0,93724
2018-02-09,18.697611803212563,19.994295493439814,137.56,85986
2018-02-10,18.602934471954317,19.994879672299028,56.9,85255
2018-02-11,18.677230141244067,19.99437570303712,366.0,98478
2018-02-12,18.838589175180275,19.99474513925381,110.2,91164
2018-02-13,18.922196705553194,19.99506903353057,177.6,87511
2018-02-14,18.79743972652293,19.994813278008298,100.0,81889
2018-02-15,18.757900381476524,19.99474513925381,76.18,91403
2018-02-16,18.71370532127435,19.994529540481402,100.0,84976
2018-02-17,18.750818759340138,19.999999999999996,111.0,94966
2018-02-18,18.601388559441677,19.995355318160705,82.26,102726
2018-02-19,18.878448661718455,19.99579478553406,110.0,106069
2018-02-20,18.87412886139444,19.994879672299028,108.0,85231
2018-02-21,18.861556373109522,19.99500748876685,441.11,84244
2018-02-22,18.782670847452327,19.994813278008298,124.56,84933
2018-02-23,18.790370275564616,19.99474513925381,90.0,84007
2018-02-24,18.615267696170513,19.996584699453553,124.45,94711
2018-02-25,18.714017322262183,19.99500748876685,150.0,112668
2018-02-26,18.861494998774813,19.994813278008298,67.0,92153
2018-02-27,18.918820110548605,19.99506903353057,111.11,88587
2018-02-28,18.90144346413416,19.995244888254874,80.0,91596
2018-03-01,18.828218072198748,19.994879672299028,100.0,90539
2018-03-02,18.858257060990596,19.996584699453553,200.0,83551
2018-03-03,18.67253953196389,19.996584699453553,80.08,98370
2018-03-04,18.499307547238917,19.994102034797997,95.08,113330
2018-03-05,18.777552501334725,19.994675186368475,90.0,93986
2018-03-06,18.87740222781874,19.99506903353057,200.0,86528
2018-03-07,19.317286956488402,20.0,95.0,89442
2018-03-08,18.841730884725358,19.99518768046199,400.0,96011
2018-03-09,18.768885675250672,19.994675186368475,122.0,86062
2018-03-10,18.555199768675966,19.995355318160705,256.94,98416
2018-03-11,18.555552713839834,19.99437570303712,300.99,106352
2018-03-12,18.75934420263789,19.99474513925381,200.0,90060
2018-03-13,18.89698730515454,19.99565783760313,190.0,94003
2018-03-14,18.824135412555513,19.99494438827098,100.0,91238
2018-03-15,18.798551932298224,19.99494438827098,43.53,88989
2018-03-16,18.68748282593979,19.994813278008298,200.0,85102
2018-03-17,18.548699611270326,19.9960047942469,355.5,93725
2018-03-18,18.56194137107316,19.994295493439814,200.0,107995
2018-03-19,18.793390502357944,19.994603345925523,92.0,91650
2018-03-20,18.827224764618393,19.99506903353057,110.0,87317
2018-03-21,19.394166372680683,20.0,80.0,79766
2018-03-22,18.829942087104644,19.99512907939601,150.88,99688
2018-03-23,18.61052914355375,19.994529540481402,120.0,84728
2018-03-24,18.511745577800475,19.99494438827098,200.0,87473
2018-03-25,18.637331001821398,19.994529540481402,222.08,103242
2018-03-26,18.741042982957772,19.994603345925523,100.0,87547
2018-03-27,18.795045458518672,19.99500748876685,90.0,82199
2018-03-28,18.806543307061858,19.99506903353057,150.0,86642
2018-03-29,18.77049842080072,19.99500748876685,74.7,81757
2018-03-30,18.688516089687408,19.99494438827098,294.7,90819
2018-03-31,18.53199072195965,19.996584699453553,200.0,90329
2018-04-01,18.665182800294016,19.99437570303712,362.7,102140
2018-04-02,18.723748098461137,19.994879672299028,300.0,89298
2018-04-03,18.77667757273807,19.99500748876685,61.36,78893
