date,mean_percent,median_percent,max_amount,count
2017-01-01,18.793630030744733,20.0,200.0,104742
2017-01-02,18.83797514320043,20.0,89.0,90735
2017-01-03,18.77119681452783,19.98341625207297,125.0,79830
2017-01-04,18.793465644735395,19.98106060606061,100.0,82032
2017-01-05,18.87319655984814,19.999999999999996,75.0,90393
2017-01-06,18.78510102623243,19.999999999999996,100.0,93695
2017-01-07,18.868768284943656,20.0,260.0,95473
2017-01-08,18.76127379288183,20.0,393.94,122424
2017-01-09,18.871015516424112,19.999999999999996,70.0,92059
2017-01-10,19.062272126081446,20.0,187.0,84474
2017-01-11,18.975266105922735,20.0,223.2,87353
2017-01-12,18.929452775148057,19.999999999999996,224.22,90240
2017-01-13,18.740829306955487,19.981583793738487,122.7,88285
2017-01-14,18.723552180784644,19.999999999999996,140.0,107466
2017-01-15,18.754391162521276,19.999999999999996,366.0,120388
2017-01-16,19.04572087530881,20.0,150.0,108203
2017-01-17,19.06936955952038,20.0,157.0,85646
2017-01-18,19.0452956967847,20.0,97.0,92993
2017-01-19,19.006857541330678,20.0,110.0,86695
2017-01-20,18.77718107155155,19.984202211690363,90.0,91701
2017-01-21,18.659600451768316,19.98106060606061,115.0,103868
2017-01-22,18.643627635322268,19.97354497354497,88.76,122608
2017-01-23,19.035445850854977,20.0,146.0,88267
2017-01-24,19.045020126984127,20.0,288.8,84530
2017-01-25,19.0077778227979,20.0,200.17,88168
2017-01-26,18.960370389939946,19.999999999999996,70.0,90864
2017-01-27,18.821164928353554,19.986287281453546,150.0,94908
2017-01-28,18.626615207127347,19.98106060606061,333.0,109792
2017-01-29,18.6382457512155,19.97167138810198,70.0,116419
2017-01-30,18.991250057778565,19.999999999999996,87.31,96059
2017-01-31,19.052475501906418,20.0,93.31,91594
2017-02-01,19.029395985221576,20.0,78.51,97188
2017-02-02,19.00236002233307,20.0,120.0,96953
2017-02-03,18.850652210403517,19.999999999999996,179.37,95941
2017-02-04,18.702489808932327,19.97690531177829,270.0,108211
2017-02-05,18.585895634627864,19.969146383270488,79.63,129154
2017-02-06,18.84991962366679,19.999999999999996,70.0,94740
2017-02-07,19.040818284437943,20.0,76.61,88128
2017-02-08,19.04455515634598,20.0,100.0,86163
2017-02-09,19.39706979516876,20.0,55.0,81826
2017-02-10,18.700656159443422,19.999999999999996,202.0,78678
2017-02-11,18.534704808875833,19.970414201183434,170.41,97557
2017-02-12,18.65286235020189,19.982993197278912,100.0,116446
2017-02-13,18.846243464419633,19.999999999999996,90.0,90836
2017-02-14,18.84267892804936,19.999999999999996,222.0,81358
2017-02-15,18.88317360442081,19.999999999999996,124.1,96193
2017-02-16,18.982433410262058,20.0,100.0,103801
2017-02-17,18.744783636282076,19.9825479930192,110.0,90619
2017-02-18,18.574175726860396,19.975186104218366,286.0,95445
2017-02-19,18.463258967186324,19.969146383270488,125.0,101578
2017-02-20,18.912125232378077,20.0,246.2,110361
2017-02-21,18.940854510439607,19.999999999999996,81.0,89363
2017-02-22,18.934687512823057,19.999999999999996,102.76,91305
2017-02-23,18.79923811566645,19.999999999999996,106.23,89373
2017-02-24,18.600185073847147,19.974226804123713,100.0,91662
2017-02-25,18.443371520851827,19.969146383270488,81.0,111404
2017-02-26,18.538831759898557,19.972067039106143,111.0,125286
2017-02-27,18.827318024362334,19.999999999999996,100.0,102354
2017-02-28,18.978330110360602,20.0,103.98,94049
2017-03-01,18.903974272272485,19.999999999999996,300.0,95252
2017-03-02,18.873569346390344,19.999999999999996,300.0,99063
2017-03-03,18.811283575542646,19.988674971687427,150.0,101696
2017-03-04,18.673662582194765,19.98106060606061,350.0,117027
2017-03-05,18.62323497799335,19.97716894977169,121.22,121184
2017-03-06,18.908997666001177,19.999999999999996,220.0,101581
2017-03-07,18.922373731265274,20.0,80.0,92395
2017-03-08,18.932954459034285,20.0,100.0,96432
2017-03-09,18.885057969002805,19.999999999999996,200.0,98678
2017-03-10,18.770273215067302,19.98069498069498,200.0,103938
